,ARIMA,Prophet,LSTM
AUTOMOTIVE,0.5257462822462362,0.5414722629986362,0.46548986610963333
BEAUTY,1.340805544399133,1.1984031674894329,1.955808625321578
BEVERAGES,1.4662118120376995,0.9557445863589733,14.786714706807286
BREAD/BAKERY,1.4519200648724884,0.758671304176587,6.68213526282769
CELEBRATION,0.43598304977447294,0.6854006223386323,1.2802355136625003
CLEANING,0.8875235885201093,0.49784202626982665,1.8630602545473764
DAIRY,1.2692365193414492,0.5501377105728104,1.5031983292749953
DELI,0.5130294307484048,0.3463447746643405,2.0888210712684026
EGGS,1.1486055910574853,0.6609532299610006,6.742007418825059
FROZEN FOODS,1.5968244100643003,1.5311706812850492,9.257349738326798
GROCERY I,0.9624938113109418,0.47972626144973407,3.092539651446964
GROCERY II,1.818174962252418,0.8830410453550925,2.997685239966063
HARDWARE,0.892242358068377,0.904758113970667,0.598749711829417
HOME AND KITCHEN I,1.4954694674437963,1.7263956840495085,1.7297805316584365
HOME AND KITCHEN II,0.5544488225906282,1.603369112819274,2.056229256760248
HOME CARE,0.6889778980571863,0.44366923923742474,2.4020290870490735
LADIESWEAR,0.717918830379712,0.7574204708650034,0.6747696468133869
LAWN AND GARDEN,0.791519924892779,0.8534888597516043,2.1114152329935507
LINGERIE,2.0767340358064716,2.2250187060558972,4.171247049111595
"LIQUOR,WINE,BEER",1.4093545470243523,1.7074289450863045,4.563293314302962
MAGAZINES,1.2996111421459278,1.227521755708068,1.3686923614977453
MEATS,1.8683729788444936,1.631308567312294,11.629864106084518
PERSONAL CARE,0.7149650368148203,0.7061567588390897,0.9933615115344304
PET SUPPLIES,0.7485767625831877,0.6447923736958071,0.7201497847751885
PLAYERS AND ELECTRONICS,0.729261093658566,0.6813036354673947,3.2048534136827613
POULTRY,0.0072478852396310346,0.01585503902042043,0.2001416370224164
PREPARED FOODS,3.018113601066118,3.040856618542089,6.140337519825739
PRODUCE,3.8915651568578222,3.262213344045427,5.593525250616189
SEAFOOD,2.42593655286477,2.6220952082680062,2.7232284815128915
